Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access,Expiry_Date
user14@atko.email,U0022,2025-10-27T23:05:51Z,LOGIN,HR,SALES_VIEW,Denied,2025-11-01T23:05:51Z
user31@atko.email,U0039,2025-08-30T23:05:51Z,CHECK_PERMS,HR,SYSTEM_ADMIN_ALL,Permitted,2025-09-04T23:05:51Z
user2@atko.email,U0010,2025-10-13T23:05:51Z,APPROVE,Admin,FIN_VENDOR_CREATOR,Denied,2025-10-18T23:05:51Z
user18@atko.email,U0026,2025-11-06T23:05:51Z,READ,Sales,FIN_VENDOR_CREATOR,Permitted,2025-11-11T23:05:51Z
user1@atko.email,U0009,2025-09-02T23:05:51Z,DELETE,IT_Ops,SALES_VIEW,Denied,2025-09-07T23:05:51Z
user49@atko.email,U0057,2025-09-01T23:05:51Z,CHECK_PERMS,IT_Ops,AUDIT_READ,Denied,2025-09-06T23:05:51Z
user10@atko.email,U0018,2025-08-28T23:05:51Z,CREATE NEW VENDOR,HR,FINANCE_EDIT,Denied,2025-09-02T23:05:51Z
user49@atko.email,U0057,2025-10-22T23:05:51Z,CHECK_PERMS,Auditor,FINANCE_EDIT,Permitted,2025-10-27T23:05:51Z
user35@atko.email,U0043,2025-09-07T23:05:51Z,CHECK_PERMS,HR,HR_VIEW,Denied,2025-09-12T23:05:51Z
user24@atko.email,U0032,2025-09-15T23:05:51Z,LOGIN,Security,FIN_VENDOR_CREATOR,Denied,2025-09-20T23:05:51Z
harms.rosa@atko.email,U0003,2025-09-03T23:05:51Z,APPROVE,Employee,FIN_PROCESS_APPR,Permitted,2025-09-08T23:05:51Z
user33@atko.email,U0041,2025-11-25T23:05:51Z,CREATE NEW VENDOR,Finance,FIN_VENDOR_CREATOR,Permitted,2025-11-30T23:05:51Z
user15@atko.email,U0023,2025-09-09T23:05:51Z,EXECUTE,Sales,AUDIT_READ,Permitted,2025-09-14T23:05:51Z
user8@atko.email,U0016,2025-12-02T23:05:51Z,EXECUTE,Security,GENERAL_USER,Denied,2025-12-07T23:05:51Z
user37@atko.email,U0045,2025-11-28T23:05:51Z,READ,Auditor,GENERAL_USER,Permitted,2025-12-03T23:05:51Z
samantha.driver@atko.email,U0004,2025-12-02T23:05:51Z,CREATE NEW VENDOR,Finance,HR_VIEW,Denied,2025-12-07T23:05:51Z
max@atko.email,U0007,2025-10-06T23:05:51Z,CHECK_PERMS,Auditor,HR_VIEW,Denied,2025-10-11T23:05:51Z
user13@atko.email,U0021,2025-08-26T23:05:51Z,WRITE,Payment Processor,SECURITY_EXECUTE,Permitted,2025-08-31T23:05:51Z
user32@atko.email,U0040,2025-09-26T23:05:51Z,WRITE,Employee,FIN_VENDOR_CREATOR,Denied,2025-10-01T23:05:51Z
user25@atko.email,U0033,2025-11-25T23:05:51Z,EXECUTE,IT_Ops,IT_MAINTAIN,Denied,2025-11-30T23:05:51Z
user43@atko.email,U0051,2025-09-22T23:05:51Z,APPROVE,Sales,SYSTEM_ADMIN_ALL,Denied,2025-09-27T23:05:51Z
max@atko.email,U0007,2025-09-14T23:05:51Z,LOGIN,Sales,SECURITY_EXECUTE,Denied,2025-09-19T23:05:51Z
user19@atko.email,U0027,2025-10-20T23:05:51Z,DELETE,Sales,SYSTEM_ADMIN_ALL,Denied,2025-10-25T23:05:51Z
john.doe@atko.email,U0002,2025-11-27T23:05:51Z,LOGIN,Admin,FINANCE_EDIT,Permitted,2025-12-02T23:05:51Z
user33@atko.email,U0041,2025-08-25T23:05:51Z,UPDATE,IT_Ops,READ_ONLY,Permitted,2025-08-30T23:05:51Z
max@atko.email,U0007,2025-12-02T23:05:51Z,LOGOUT,Employee,SALES_VIEW,Denied,2025-12-07T23:05:51Z
user5@atko.email,U0013,2025-11-22T23:05:51Z,CREATE NEW VENDOR,Viewer,SYSTEM_ADMIN_ALL,Denied,2025-11-27T23:05:51Z
harms.rosa@atko.email,U0003,2025-09-08T23:05:51Z,READ,Security,HR_VIEW,Permitted,2025-09-13T23:05:51Z
user34@atko.email,U0042,2025-09-12T23:05:51Z,LOGIN,Admin,FIN_PROCESS_APPR,Permitted,2025-09-17T23:05:51Z
user8@atko.email,U0016,2025-10-23T23:05:51Z,EXECUTE,IT_Ops,AUDIT_READ,Permitted,2025-10-28T23:05:51Z
user3@atko.email,U0011,2025-10-12T23:05:51Z,CREATE NEW VENDOR,Sales,AUDIT_READ,Permitted,2025-10-17T23:05:51Z
user15@atko.email,U0023,2025-09-05T23:05:51Z,DELETE,Payment Processor,HR_VIEW,Denied,2025-09-10T23:05:51Z
user43@atko.email,U0051,2025-10-16T23:05:51Z,UPDATE,Admin,FINANCE_EDIT,Permitted,2025-10-21T23:05:51Z
ivan@atko.email,U0006,2025-09-07T23:05:51Z,CREATE NEW VENDOR,Security,IT_MAINTAIN,Denied,2025-09-12T23:05:51Z
user28@atko.email,U0036,2025-10-02T23:05:51Z,EXECUTE,Security,SYSTEM_ADMIN_ALL,Permitted,2025-10-07T23:05:51Z
user27@atko.email,U0035,2025-09-08T23:05:51Z,CHECK_PERMS,Sales,AUDIT_READ,Denied,2025-09-13T23:05:51Z
user33@atko.email,U0041,2025-09-03T23:05:51Z,UPDATE,Payment Processor,GENERAL_USER,Denied,2025-09-08T23:05:51Z
user40@atko.email,U0048,2025-10-23T23:05:51Z,APPROVE,Sales,SALES_VIEW,Denied,2025-10-18T23:05:51Z
user37@atko.email,U0045,2025-08-28T23:05:51Z,LOGOUT,Sales,IT_MAINTAIN,Permitted,2025-09-02T23:05:51Z
user47@atko.email,U0055,2025-10-28T23:05:51Z,LOGIN,Payment Processor,FIN_PROCESS_APPR,Permitted,2025-11-02T23:05:51Z
user31@atko.email,U0039,2025-10-04T23:05:51Z,CREATE NEW VENDOR,IT_Ops,FINANCE_EDIT,Denied,2025-10-09T23:05:51Z
user24@atko.email,U0032,2025-11-11T23:05:51Z,CHECK_PERMS,Viewer,FIN_PROCESS_APPR,Denied,2025-11-16T23:05:51Z
user10@atko.email,U0018,2025-09-10T23:05:51Z,LOGOUT,Security,SYSTEM_ADMIN_ALL,Permitted,2025-09-15T23:05:51Z
user4@atko.email,U0012,2025-09-30T23:05:51Z,CREATE NEW VENDOR,Auditor,READ_ONLY,Permitted,2025-10-05T23:05:51Z
user39@atko.email,U0047,2025-10-19T23:05:51Z,LOGOUT,IT_Ops,GENERAL_USER,Permitted,2025-10-24T23:05:51Z
user27@atko.email,U0035,2025-09-20T23:05:51Z,CHECK_PERMS,Payment Processor,SALES_VIEW,Permitted,2025-09-25T23:05:51Z
user30@atko.email,U0038,2025-09-19T23:05:51Z,UPDATE,Finance,FIN_PROCESS_APPR,Permitted,2025-09-24T23:05:51Z
user13@atko.email,U0021,2025-11-03T23:05:51Z,EXECUTE,Admin,FIN_VENDOR_CREATOR,Denied,2025-11-08T23:05:51Z
user1@atko.email,U0009,2025-11-14T23:05:51Z,DELETE,Auditor,SECURITY_EXECUTE,Permitted,2025-11-19T23:05:51Z
user28@atko.email,U0036,2025-10-22T23:05:51Z,DELETE,Payment Processor,FIN_PROCESS_APPR,Denied,2025-10-27T23:05:51Z
john.doe@atko.email,U0002,2025-11-24T23:05:51Z,CREATE NEW VENDOR,Sales,READ_ONLY,Permitted,2025-11-29T23:05:51Z
user20@atko.email,U0028,2025-10-10T23:05:51Z,CHECK_PERMS,Sales,FIN_VENDOR_CREATOR,Permitted,2025-10-15T23:05:51Z
ivan@atko.email,U0006,2025-09-17T23:05:51Z,EXECUTE,IT_Ops,SALES_VIEW,Permitted,2025-09-22T23:05:51Z
user19@atko.email,U0027,2025-08-25T23:05:51Z,READ,Employee,IT_MAINTAIN,Permitted,2025-08-30T23:05:51Z
user39@atko.email,U0047,2025-11-15T23:05:51Z,CHECK_PERMS,Security,IT_MAINTAIN,Denied,2025-11-20T23:05:51Z
max@atko.email,U0007,2025-10-09T23:05:51Z,DELETE,IT_Ops,FIN_VENDOR_CREATOR,Denied,2025-10-14T23:05:51Z
user29@atko.email,U0037,2025-10-25T23:05:51Z,UPDATE,Payment Processor,FIN_PROCESS_APPR,Denied,2025-10-30T23:05:51Z
ashwin.ramnarayanan@okta.com,U0001,2025-09-13T23:05:51Z,UPDATE,Payment Processor,SYSTEM_ADMIN_ALL,Permitted,2025-09-08T23:05:51Z
user31@atko.email,U0039,2025-11-25T23:05:51Z,WRITE,Security,FIN_VENDOR_CREATOR,Permitted,2025-11-30T23:05:51Z
user35@atko.email,U0043,2025-09-12T23:05:51Z,EXECUTE,Employee,AUDIT_READ,Denied,2025-09-17T23:05:51Z
max@atko.email,U0007,2025-11-14T23:05:51Z,DELETE,Admin,FIN_VENDOR_CREATOR,Denied,2025-11-19T23:05:51Z
user23@atko.email,U0031,2025-11-07T23:05:51Z,READ,Security,HR_VIEW,Denied,2025-11-12T23:05:51Z
user0@atko.email,U0008,2025-11-08T23:05:51Z,READ,Employee,SYSTEM_ADMIN_ALL,Permitted,2025-11-13T23:05:51Z
user24@atko.email,U0032,2025-11-15T23:05:51Z,READ,Employee,FINANCE_EDIT,Permitted,2025-11-10T23:05:51Z
user30@atko.email,U0038,2025-09-21T23:05:51Z,WRITE,Auditor,IT_MAINTAIN,Denied,2025-09-26T23:05:51Z
user35@atko.email,U0043,2025-10-15T23:05:51Z,EXECUTE,Security,IT_MAINTAIN,Permitted,2025-10-20T23:05:51Z
user32@atko.email,U0040,2025-10-18T23:05:51Z,APPROVE,Payment Processor,READ_ONLY,Denied,2025-10-23T23:05:51Z
user26@atko.email,U0034,2025-09-08T23:05:51Z,CREATE NEW VENDOR,Payment Processor,SALES_VIEW,Permitted,2025-09-13T23:05:51Z
user15@atko.email,U0023,2025-09-18T23:05:51Z,CREATE NEW VENDOR,Auditor,GENERAL_USER,Permitted,2025-09-23T23:05:51Z
user49@atko.email,U0057,2025-09-15T23:05:51Z,LOGIN,Finance,FIN_PROCESS_APPR,Denied,2025-09-10T23:05:51Z
user5@atko.email,U0013,2025-09-12T23:05:51Z,READ,HR,FIN_PROCESS_APPR,Denied,2025-09-17T23:05:51Z
user25@atko.email,U0033,2025-12-11T23:05:51Z,APPROVE,IT_Ops,READ_ONLY,Denied,2025-12-06T23:05:51Z
ivan@atko.email,U0006,2025-08-28T23:05:51Z,READ,Sales,SECURITY_EXECUTE,Permitted,2025-09-02T23:05:51Z
user2@atko.email,U0010,2025-09-14T23:05:51Z,CREATE NEW VENDOR,IT_Ops,FINANCE_EDIT,Denied,2025-09-19T23:05:51Z
user35@atko.email,U0043,2025-10-08T23:05:51Z,LOGOUT,Sales,AUDIT_READ,Denied,2025-10-13T23:05:51Z
user26@atko.email,U0034,2025-10-08T23:05:51Z,APPROVE,Sales,SECURITY_EXECUTE,Denied,2025-10-13T23:05:51Z
user30@atko.email,U0038,2025-09-03T23:05:51Z,WRITE,Auditor,GENERAL_USER,Denied,2025-09-08T23:05:51Z
user47@atko.email,U0055,2025-09-16T23:05:51Z,UPDATE,Viewer,FINANCE_EDIT,Permitted,2025-09-11T23:05:51Z
user29@atko.email,U0037,2025-11-15T23:05:51Z,LOGOUT,Security,FIN_PROCESS_APPR,Denied,2025-11-20T23:05:51Z
user9@atko.email,U0017,2025-10-06T23:05:51Z,WRITE,Auditor,SECURITY_EXECUTE,Denied,2025-10-11T23:05:51Z
creep.user@atko.email,U9999,2025-11-16T23:05:51Z,CHECK_PERMS,Payment Processor,FINANCE_EDIT,Denied,2025-11-21T23:05:51Z
user44@atko.email,U0052,2025-09-02T23:05:51Z,APPROVE,Auditor,SALES_VIEW,Permitted,2025-09-07T23:05:51Z
user32@atko.email,U0040,2025-09-03T23:05:51Z,DELETE,Sales,IT_MAINTAIN,Denied,2025-09-08T23:05:51Z
user33@atko.email,U0041,2025-10-04T23:05:51Z,CHECK_PERMS,Finance,SECURITY_EXECUTE,Denied,2025-10-09T23:05:51Z
user10@atko.email,U0018,2025-09-11T23:05:51Z,LOGOUT,Payment Processor,FINANCE_EDIT,Permitted,2025-09-16T23:05:51Z
harms.rosa@atko.email,U0003,2025-10-15T23:05:51Z,DELETE,Sales,READ_ONLY,Permitted,2025-10-20T23:05:51Z
user7@atko.email,U0015,2025-11-08T23:05:51Z,APPROVE,Security,SECURITY_EXECUTE,Permitted,2025-11-13T23:05:51Z
ashwin.ramnarayanan@okta.com,U0001,2025-09-20T23:05:51Z,LOGOUT,Viewer,IT_MAINTAIN,Permitted,2025-09-25T23:05:51Z
user16@atko.email,U0024,2025-11-07T23:05:51Z,READ,Payment Processor,HR_VIEW,Permitted,2025-11-12T23:05:51Z
user3@atko.email,U0011,2025-09-08T23:05:51Z,LOGOUT,IT_Ops,AUDIT_READ,Permitted,2025-09-13T23:05:51Z
user3@atko.email,U0011,2025-11-18T23:05:51Z,EXECUTE,Payment Processor,SALES_VIEW,Denied,2025-11-23T23:05:51Z
user35@atko.email,U0043,2025-10-03T23:05:51Z,WRITE,IT_Ops,FINANCE_EDIT,Permitted,2025-10-08T23:05:51Z
user24@atko.email,U0032,2025-11-12T23:05:51Z,LOGOUT,Payment Processor,READ_ONLY,Permitted,2025-11-17T23:05:51Z
user16@atko.email,U0024,2025-10-31T23:05:51Z,EXECUTE,Auditor,HR_VIEW,Permitted,2025-11-05T23:05:51Z
ivan@atko.email,U0006,2025-09-11T23:05:51Z,DELETE,Auditor,IT_MAINTAIN,Denied,2025-09-16T23:05:51Z
user25@atko.email,U0033,2025-10-11T23:05:51Z,EXECUTE,IT_Ops,HR_VIEW,Denied,2025-10-16T23:05:51Z
user20@atko.email,U0028,2025-11-17T23:05:51Z,LOGOUT,Auditor,READ_ONLY,Permitted,2025-11-22T23:05:51Z
user23@atko.email,U0031,2025-11-25T23:05:51Z,CHECK_PERMS,Security,IT_MAINTAIN,Denied,2025-11-30T23:05:51Z
user10@atko.email,U0018,2025-11-28T23:05:51Z,WRITE,Payment Processor,AUDIT_READ,Denied,2025-12-03T23:05:51Z
user20@atko.email,U0028,2025-10-23T23:05:51Z,APPROVE,Admin,HR_VIEW,Denied,2025-10-28T23:05:51Z
